3000	 0.2	 Bubonic Bitch	 0.8	 0.4
Next Time Step Initiating...
person#205 has infected person#1927
person#205 has infected person#572
person#205 has infected person#1777
person#205 has infected person#1166
person#205 has infected person#2728
person#205 has infected person#1088
person#205 has infected person#538
person#205 has infected person#86
person#205 has infected person#968
person#205 has infected person#1756
person#205 has infected person#765
person#205 has infected person#609
person#205 has infected person#1643
person#205 has infected person#2525
person#205 has infected person#2150
person#205 has infected person#947
person#205 has infected person#2637
person#205 has infected person#450
person#205 has infected person#744
person#205 has infected person#868
person#205 has infected person#2484
person#205 has infected person#2012
person#205 has infected person#1246
Person#205 has died
person#207 has infected person#1522
person#207 has infected person#2465
person#207 has infected person#1404
person#207 has infected person#2952
person#207 has infected person#2938
person#207 has infected person#2454
person#207 has infected person#1186
person#207 has infected person#2319
person#207 has infected person#2086
person#207 has infected person#2487
person#207 has infected person#753
person#207 has infected person#2342
person#207 has infected person#700
person#207 has infected person#975
person#207 has infected person#2619
person#207 has infected person#1145
Person#207 has died
person#211 has infected person#1811
person#211 has infected person#1100
person#211 has infected person#1619
person#211 has infected person#2031
person#211 has infected person#2987
person#211 has infected person#1270
person#211 has infected person#2489
person#211 has infected person#587
person#211 has infected person#84
person#211 has infected person#342
person#211 has infected person#1259
person#211 has infected person#632
person#211 has infected person#2834
person#211 has infected person#182
person#211 has infected person#580
person#211 has infected person#918
person#211 has infected person#1749
person#211 has infected person#2803
person#211 has infected person#451
person#211 has infected person#1463
person#211 has infected person#1366
person#211 has infected person#618
person#211 has infected person#1741
person#211 has infected person#1175
person#211 has infected person#425
person#211 has infected person#600
Person#211 has died
person#216 has infected person#2976
person#216 has infected person#1577
person#216 has infected person#2607
person#216 has infected person#1007
person#216 has infected person#963
person#216 has infected person#70
person#216 has infected person#570
person#216 has infected person#2883
person#216 has infected person#1739
person#216 has infected person#2872
person#216 has infected person#647
person#216 has infected person#1496
person#216 has infected person#1003
person#216 has infected person#1705
person#216 has infected person#1174
person#216 has infected person#44
person#216 has infected person#2905
person#216 has infected person#896
person#216 has infected person#1955
person#216 has infected person#675
person#216 has infected person#797
person#216 has infected person#114
Person#216 has died
person#217 has infected person#984
person#217 has infected person#2313
person#217 has infected person#196
person#217 has infected person#1264
person#217 has infected person#798
person#217 has infected person#398
